title,href,img,loc,price,etc,lat,lng,addr
제주 토스카나호텔 까보스코 레스토랑 조식뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111504852,https://www.jejumobile.kr/datas/a7e98a275dce8474c20d42b7f1b3a9d3.jpg,서귀포시,"17,200",예약필수,33.2654708,126.4842819,"대한민국 제주특별자치도 서귀포시 특별자치도, 강정동 3700-4 KR"
밀라네사뷔페 |제주뷔페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111394325,https://www.jejumobile.kr/datas/63c0ff40f8a3bde525ca79e96e7a29eb.jpg,제주시,"15,900",,33.5097637,126.5905574,대한민국 제주특별자치도 제주시 삼양동 1751-1
오설록 티뮤지엄_A세트 |서귀포디저트|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111293468,https://www.jejumobile.kr/datas/bcec8e775c702178a32521a65bc6de17.jpg,서귀포시 서부,"17,100",,33.3058932,126.289534,대한민국 제주특별자치도 서귀포시 안덕면 신화역사로 15
카멜리아힐+동백한입_카페음료 교환권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111581851,https://www.jejumobile.kr/datas/da3c8797cdb35b128aff5b39ef114184.jpg,서귀포시 서부,"10,000",,33.2889938,126.3701172,대한민국 제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아 힐
낙지마당 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111397065,https://www.jejumobile.kr/datas/7ca46fb9d3187f122cd3fe0b5439247b.jpg,서귀포시,"29,000",,33.2542326,126.5130116,대한민국 제주특별자치도 서귀포시 서호동 1462-2
그랜드조선제주 루브리카_프리픽스|다이닝레스토랑|제주레스토랑|중문|호텔,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111650714,https://www.jejumobile.kr/datas/82204c6e39a0529579407c38d54e0136.jpg,서귀포시,"46,000",예약필수,33.2525477,126.4078639,대한민국 제주특별자치도 서귀포시 색달동 2101
망고레이 천지연폭포점 |서귀포카페|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111175465,https://www.jejumobile.kr/datas/6b10bf5fdfcfc186258fe0ca41c96e0b.JPG,서귀포시,"5,900",,33.2432737,126.559792,대한민국 제주특별자치도 서귀포시 천지동 남성중로 2-3
바다하늘 패러글라이딩체험_사전예약필수,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177106,https://www.jejumobile.kr/datas/1db7ba526375ea9753429b4c0acc6e5f.jpg,제주시 서부,"89,000",예약필수,33.3563629,126.2964773,대한민국 제주특별자치도 제주시 한림읍 한창로 1295-1
천지연무태장어 난산본점,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111575835,https://www.jejumobile.kr/datas/1575c0655ef9fcadd77fc0301006931a.jpg,서귀포시 동부,"60,000",,33.246944,126.554417,대한민국 서귀포시 천지연폭포
오설록 티뮤지엄_그린티아이스크림 |서귀포디저트|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111307150,https://www.jejumobile.kr/datas/dd4794828f11cdca7ec6beaba1439a52.jpg,서귀포시 서부,"4,500",,33.3058932,126.289534,대한민국 제주특별자치도 서귀포시 안덕면 신화역사로 15
