장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
3794,제주 시리우스 호텔,제주특별자치도 제주시 연삼로 89,호텔,33.4927269,126.4910114,2021-02-23,2021-02-23,제주특별자치도 제주시 연동 250,y
3733,콤마앤리조트,제주특별자치도 제주시 신광로4길 40,숙박,33.2324993,126.3193325,2021-01-28,2021-01-28,제주특별자치도 서귀포시 안덕면 사계리,y
3734,콤마앤리조트,제주특별자치도 제주시 신광로4길 40,숙박,33.2324993,126.3193325,2021-01-28,2021-01-28,제주특별자치도 서귀포시 안덕면 사계리,y
3660,메르블루호텔,제주특별자치도 제주시 서해안로 368-15,호텔,33.5110714,126.4850715,2020-11-20,2020-11-20,제주특별자치도 제주시 용담2동 2514,y
3695,SK렌트카,,렌트카,33.4927355,126.450286,2020-11-30,2020-11-30,제주특별자치도 제주시 이호동 1888-2,y
3767,빌리카,제주특별자치도 제주시 용문로 64 OK 렌터카,렌트카,33.5036088,126.5029186,2021-02-11,2021-02-11,제주특별자치도 제주시 용담2동 737-3,y
3808,휴일로카페,제주특별자치도 서귀포시 논짓물로 69-10,카페,33.2408556,126.3839601,2021-03-08,2021-03-08,제주특별자치도 서귀포시 예래동 397,y
4041,"에코랜ㄷ,",제주특별자치도 서귀포시 표선면 남조로 1487-73 붉은오름 자연휴양림 숲속의 집,관광,33.4686951,126.6700366,2021-05-04,2021-05-04,제주특별자치도 제주시 조천읍 대흘리 1221-7,y
4051,코업시티호텔 성산,제주특별자치도 서귀포시 성산등용로 17,호텔,33.4652382,126.9325117,2021-05-07,2021-05-07,제주특별자치도 서귀포시 성산읍 성산리 234-16,y
3902,휴안스테이,제주특별자치도 서귀포시 일출로 267,숙박,33.46179,126.9337482,2021-03-23,2021-03-23,제주특별자치도 서귀포시 성산읍 성산리 150,y
4091,클랭블루,,카페,33.3676112,126.2110137,2021-05-15,2021-05-15,제주특별자치도 제주시 한경면 판포리 1852,y
3963,이공팔오,제주특별자치도 제주시 조함해안로 273-33,카페,33.4817357,126.709103,2021-04-13,2021-04-13,제주특별자치도 제주시 조천읍 선흘리 570-1,y
3989,호텔더본제주,제주특별자치도 서귀포시 중문관광로72번길 60,호텔,33.2557572,126.4054378,2021-04-20,2021-04-20,제주특별자치도 서귀포시 예래동 2101,y
4418,에벤에셀 호텔,제주특별자치도 제주시 함덕19길 6,숙박,33.5406365,126.6701396,2021-07-27,2021-07-27,제주특별자치도 제주시 조천읍 함덕리 960-3,y
4358,the 연 돈까스,제주특별자치도 서귀포시 섭지코지로25번길 64,식당,33.2620096,126.4063552,2021-07-09,2021-07-09,제주특별자치도 서귀포시 예래동 2035,y
4419,오늘도 회는 뜬다,제주특별자치도 제주시 명주길 16,식당,33.5363154,126.6816066,2021-07-27,2021-07-27,제주특별자치도 제주시 조천읍 북촌리 2071-3,y
4763,덴드리 카페,제주특별자치도 서귀포시 삼달로164번길 100-104,카페,33.3702912,126.8672551,2022-01-07,2022-01-07,제주특별자치도 서귀포시 성산읍 삼달리 87-2,y
4762,카페두갓,제주특별자치도 제주시 옹포2길 30,카페,33.4656899,126.4500435,2022-01-07,2022-01-07,제주특별자치도 제주시 노형동 2321,y
4765,오지힐,,카페,33.3614644,126.1919866,2022-01-07,2022-01-07,제주특별자치도 제주시 한경면 금등리 724-8,y
4540,식당,,식당,33.4729506,126.8990845,2021-09-30,2021-09-30,제주특별자치도 서귀포시 성산읍 시흥리 704-1,y
4455,자연스러운식당,제주특별자치도 서귀포시 이어도로1066번길 11 창고,식당,33.2452244,126.5248459,2021-08-15,2021-08-15,제주특별자치도 서귀포시 대륜동 34,y
4541,카페 더콘테나,제주특별자치도 제주시 함와로 533-3,카페,33.4968088,126.6795896,2021-09-30,2021-09-30,제주특별자치도 제주시 조천읍 와산리 836-3,y
4539,달둥이네,,식당,33.2398101,126.3054795,2021-09-30,2021-09-30,제주특별자치도 서귀포시 안덕면 사계리 401-4,y
4683,원앤온리,제주특별자치도 서귀포시 하예하동로16번길 11-1,카페,33.2433712,126.3276361,2021-12-18,2021-12-18,제주특별자치도 서귀포시 안덕면 화순리 1867-2,y
4696,바댜해찬,제주특별자치도 제주시 금능남로 127 라온프라이빗타운,식당,33.382357,126.2386545,2021-12-25,2021-12-25,제주특별자치도 제주시 한림읍 협재리 2838,y
4860,섭지코지 휘닉스 제주,제주특별자치도 서귀포시 섭지코지로 107 휘닉스아일랜드콘도,호텔,33.4268714,126.9297603,2022-02-03,2022-02-03,제주특별자치도 서귀포시 성산읍 고성리 87,y
4832,마니주,,식당,33.4482763,126.4368238,2022-01-27,2022-01-27,제주특별자치도 제주시 애월읍 광령리 861-2,y
4826,용담골,제주특별자치도 제주시 평전1길 16,식당,33.5005728,126.5176283,2022-01-27,2022-01-27,제주특별자치도 제주시 삼도1동 517-14,y
4892,스타벅스 DT,제주특별자치도 제주시 신엄안2길 58,카페,33.4776989,126.3701442,2022-02-08,2022-02-08,제주특별자치도 제주시 애월읍 신엄리 955,y
4855,팜파스호텔,제주특별자치도 제주시 월정3길 9,숙박,33.5099513,126.4843254,2022-01-31,2022-01-31,제주특별자치도 제주시 도두동 660,y
4835,신동아렌트카,제주특별자치도 제주시 일주서로 7667,렌트카,33.4945076,126.4658713,2022-01-27,2022-01-27,제주특별자치도 제주시 이호동 193,y
4842,유어스호텔,제주특별자치도 서귀포시 중문상로17번길 4 공연장,호텔,33.2504997,126.4239453,2022-01-29,2022-01-29,제주특별자치도 서귀포시 중문동 2128-1,y
4843,센트럴시티호텔,제주특별자치도 제주시 제원4길 3,호텔,33.4862707,126.4889098,2022-01-29,2022-01-29,제주특별자치도 제주시 연동 262-68,y
4871,카페시소,제주특별자치도 제주시 조천북1길 16-10,카페,33.5420009,126.6361181,2022-02-04,2022-02-04,제주특별자치도 제주시 조천읍 조천리 2779,y
4768,우호적무관심,제주특별자치도 제주시 한수풀로 8,카페,33.3377326,126.2670026,2022-01-07,2022-01-07,제주특별자치도 제주시 한경면 저지리 2120-15,y
4872,어반정글,제주특별자치도 서귀포시 신고로22번길 37,카페,33.4369681,126.9208101,2022-02-04,2022-02-04,제주특별자치도 서귀포시 성산읍 고성리 212-6,y
4993,스위트메이호텔,,호텔,33.2533601,126.5103307,2022-03-09,2022-03-09,제주특별자치도 서귀포시 대륜동 739-2,y
5002,오른,,카페,33.4711564,126.9166295,2022-03-13,2022-03-13,제주특별자치도 서귀포시 성산읍 오조리 390,y
4978,원앤온리,제주특별자치도 서귀포시 동홍북로35번길 31-12,카페,33.2388456,126.3191608,2022-03-07,2022-03-07,제주특별자치도 서귀포시 안덕면 사계리 87,y
5029,성산일출봉,제주특별자치도 제주시 함덕남2길 84-19,관광,33.4525123,126.9361429,2022-03-19,2022-03-19,대한민국,y
5028,토끼섬,제주특별자치도 제주시 함덕남2길 84-19,관광,33.5120732,126.9004373,2022-03-19,2022-03-19,제주특별자치도 제주시 구좌읍 하도리,y
5030,우도,제주특별자치도 제주시 함덕남2길 84-19,관광,33.5006224,126.9594888,2022-03-19,2022-03-19,제주특별자치도 제주시 우도면 연평리 442-1,y
4968,뵤뵤,제주특별자치도 제주시 한림로 333,카페,33.3924806,126.262019,2022-03-06,2022-03-06,제주특별자치도 제주시 한림읍 명월리 1942-6,y
