,title,href,img,loc,price,etc
83,노형수퍼마켙_미디어아트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111564267,https://www.jejumobile.kr/datas/c92d9794380f606d662a6bd20ad2dbd1.jpg,제주시,"10,000",
84,대유ATV수렵사격랜드  - 버기카,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111567996,https://www.jejumobile.kr/datas/731208ca3d4c21f56c93c0ecf686a2e7.jpg,서귀포시 서부,"72,000",예약필수
85,제주꺼우다 의상체험_전통해녀복,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111627004,https://www.jejumobile.kr/datas/5a72afb0d3ddfc1e6858bc8107730e79.jpg,제주시 서부,"20,000",
86,제주꺼우다 천연꽃향수만들기 체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111628987,https://www.jejumobile.kr/datas/13761552d0684e56891b070362c6e98c.jpg,제주시 서부,"15,000",예약필수
87,제주성산 투명카약 문보트_오조리레저파크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111563182,https://www.jejumobile.kr/datas/b679cb60352ebf7ad03d5f4c8c5d1eb7.jpg,서귀포시 동부,"16,000",
88,스토리캐슬_EP1 더 신데렐라,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111547466,https://www.jejumobile.kr/datas/4641a8257df5804a2cffa49d7bfe39fa.jpg,서귀포시,"10,000",
89,중문오프로드체험장,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111233798,https://www.jejumobile.kr/datas/e57405257bdba71b0312aee499a7ac14.jpg,서귀포시,"80,000",
90,뷰제주하늘승마ATV - 승마 산책코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111262025,https://www.jejumobile.kr/datas/883423a0eeff3cbaae68324fa7c702fb.jpg,서귀포시 동부,"17,000",
91,뷰제주하늘승마ATV - 승마 트랙코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111265171,https://www.jejumobile.kr/datas/468a9bc90715c1071528c1aed81560ec.jpg,서귀포시 동부,"9,000",
92,뷰제주하늘승마ATV - 승마 오름트레킹코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111265666,https://www.jejumobile.kr/datas/faf88204361556d710a57fb582a5c79c.jpg,서귀포시 동부,"37,000",
93,뷰제주하늘승마ATV - 승마 목장코스,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111268256,https://www.jejumobile.kr/datas/85b5c17887f25bb65c291ca6fc7265d5.jpg,서귀포시 동부,"23,000",
94,|서울 강남구| 블랙칸 댄스 살사 바차타 댄스체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111606110,https://www.jejumobile.kr/datas/69df696fcb8234d6ed5a417fd3353b20.jpg,,"9,900",예약필수
95,쇠소깍산물관광농원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111562809,https://www.jejumobile.kr/datas/70631b74a5debd1573f3de05e926adda.jpg,서귀포시,"3,600",
96,액트몬 중문점,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111547796,https://www.jejumobile.kr/datas/1e2a597672cc38f6b4cdae090d794eee.jpg,서귀포시,"7,000",
97,레아 드레스앤카페 촬영이용권|웨딩드레스|리마인드촬영,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111558430,https://www.jejumobile.kr/datas/c254d08b817d0deb7248ece6bd621fcb.jpg,제주시,"33,000",
98,상효원+생활 한복 대여 1인_까르페디엠,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111558919,https://www.jejumobile.kr/datas/61427ecd02dd75bae9f15c7376de934b.jpg,서귀포시 동부,"11,900",
99,하모 돌고래투어,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111752685,https://www.jejumobile.kr/datas/d6ae473fa0019c95d57e0f49558c5a3e.jpg,서귀포시 서부,"25,000",예약필수
100,무민랜드제주,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111474519,https://www.jejumobile.kr/datas/c0e8cb35e5bebd27eb754ed731417ddd.jpg,서귀포시 서부,"10,500",
101,더마파크 동물원 라온ZOO,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111167616,https://www.jejumobile.kr/datas/33dae99b1c720053cec4fa5dc262a801.jpg,제주시 서부,"4,900",
102,더마파크 공연,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111170164,https://www.jejumobile.kr/datas/a23bf7acb0261ef21b65ae4a92a79d41.jpg,제주시 서부,"11,900",
103,더마파크 카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111172236,https://www.jejumobile.kr/datas/d385aef7a4e8a4aefab7d2f190dc5267.jpg,제주시 서부,"12,000",
104,더마파크 승마,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111176968,https://www.jejumobile.kr/datas/fcc3149d97acab8ac787b0d01ee2978f.jpg,제주시 서부,"9,700",
105,헬로키티아일랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111408604,https://www.jejumobile.kr/datas/759a08edc464d3fd3d731a318afa7a71.jpg,서귀포시 서부,"9,500",
106,이니스프리 제주하우스점_카페|브런치,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111497634,https://www.jejumobile.kr/datas/c78ac89732a9a0b5cb8c6c33a0866c34.jpg,서귀포시 서부,"5,500",
107,이니스프리 제주하우스점_피크닉세트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111498133,https://www.jejumobile.kr/datas/b5c761fd273dc556a5309ad922391d21.jpg,서귀포시 서부,"40,800",
108,이니스프리 제주하우스점_카페 유채꿀라떼,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111610443,https://www.jejumobile.kr/datas/1d32db4e1443d3e769aa18a924d7e529.jpg,서귀포시 서부,"6,200",
109,일출랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111401124,https://www.jejumobile.kr/datas/f181faf68c1d9086337ac25c265d699f.jpg,서귀포시 동부,"5,000",
110,태권 마샬아트 공연 |제주아리랑 혼,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111406574,https://www.jejumobile.kr/datas/a40ecdc699b38fb2d0390d1d2a4d1abc.jpg,서귀포시 동부,"13,000",예약필수
111,타이거탱크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111489083,https://www.jejumobile.kr/datas/7c852483c7d274758c19a82b0acdb232.jpg,제주시 서부,"13,000",예약필수
112,세그웨이 고카트_제주센트럴파크,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111369909,https://www.jejumobile.kr/datas/7d730a83784dabd0ea72986c8996ba0e.jpg,제주시 동부,"3,500",
113,블루원 제주 해양레저 올인원 패키지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111451358,https://www.jejumobile.kr/datas/e8b90d13f0b24af8caab41120f6e9937.jpg,제주시,"100,000",
114,마을체험_알제이 저지마을 수제피자 만들기체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111548781,https://www.jejumobile.kr/datas/a6bf370cc8179a7b7372d3cd247f62aa.jpg,,"30,000",예약필수
115,카페 델보스케|피크닉|상효원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111607198,https://www.jejumobile.kr/datas/c4fa94b023c428b237c832eb27486d97.jpg,서귀포시 동부,"33,000",
